Nome Cliente;Marca;Modelo;Método Pagamento;Bairro;Entrada;Saída
Cássio Rocha;Volkswagen;Gol;App;Campo Grande;2024-12-01 06:18:41;2024-12-02 02:18:41
Marcelo Oliveira;Hyundai;Creta;Cartão;Centro;2024-11-18 08:52:24;2024-11-18 20:52:24
Eduardo Almeida;Ford;Ka;App;Centro;2024-05-29 22:58:25;2024-05-30 01:58:25
Nicole Moura;Fiat;Argo;App;Copacabana;2024-05-19 17:58:39;2024-05-20 03:58:39
Alexandre Monteiro;Renault;Sandero;Dinheiro;Madureira;2024-12-06 16:29:38;2024-12-06 17:29:38
Juliano Araujo;Nissan;Kicks;App;Sulacap;2023-07-26 20:37:09;2023-07-26 21:37:09
Clarice Pinto;Honda;Fit;Dinheiro;Campo Grande;2024-02-13 08:31:36;2024-02-13 21:31:36
Hugo Pinto;Honda;Fit;Dinheiro;Bangu;2024-07-14 21:53:11;2024-07-15 00:53:11
Felipe Campos;Volkswagen;Gol;Dinheiro;Jardim Botânico;2023-04-20 05:08:31;2023-04-20 11:08:31
Michelle Araujo;Nissan;March;App;Botafogo;2023-05-12 11:04:10;2023-05-12 14:04:10
Fabrício Borges;Jeep;Renegade;Dinheiro;Copacabana;2024-06-05 03:23:53;2024-06-05 13:23:53
Thais Carvalho;Renault;Sandero;Dinheiro;Leblon;2024-06-19 11:29:13;2024-06-19 20:29:13
Laura Araujo;Ford;Fiesta;App;Laranjeiras;2024-10-30 20:37:21;2024-10-31 03:37:21
Daniela Miranda;Honda;Fit;Cartão;Tijuca;2023-05-06 21:23:14;2023-05-07 00:23:14
Henrique Rodrigues;Volkswagen;Polo;Dinheiro;Catete;2023-05-17 12:48:07;2023-05-17 21:48:07
Roberto Almeida;Ford;Fiesta;App;Santa Teresa;2023-05-10 07:42:52;2023-05-10 08:42:52
Roberto Batista;Jeep;Compass;Dinheiro;Vila Isabel;2024-07-20 07:38:29;2024-07-20 15:38:29
Stella Moreira;Toyota;Yaris;App;Jardim Botânico;2024-09-05 03:14:33;2024-09-05 12:14:33
Ricardo Campos;Hyundai;HB20;App;Ipanema;2024-02-03 07:13:17;2024-02-03 19:13:17
Leonardo Freitas;Renault;Duster;Cartão;Recreio dos Bandeirantes;2023-04-01 03:31:08;2023-04-01 09:31:08
Davi Reis;Hyundai;HB20;Dinheiro;Santa Teresa;2024-04-11 02:47:19;2024-04-11 10:47:19
Fabrício Rodrigues;Chevrolet;Cruze;Dinheiro;Leblon;2024-05-02 22:22:12;2024-05-03 00:22:12
Felipe Silva;Ford;Ka;Cartão;Tijuca;2023-04-26 12:22:26;2023-04-26 17:22:26
Renata Souza;Volkswagen;Polo;Cartão;Campo Grande;2024-11-14 16:24:11;2024-11-14 18:24:11
Ana Moreira;Hyundai;Creta;App;Gávea;2023-11-04 21:48:29;2023-11-05 00:48:29
Miguel Carvalho;Jeep;Renegade;Dinheiro;Sulacap;2024-01-30 04:39:00;2024-01-30 05:39:00
Beatriz Garcia;Jeep;Renegade;App;Lapa;2024-09-20 03:24:48;2024-09-20 17:24:48
Bruno Santana;Nissan;March;Dinheiro;Madureira;2023-09-13 10:36:16;2023-09-13 13:36:16
Fabrício Silva;Nissan;March;App;Santa Teresa;2024-03-27 22:36:50;2024-03-28 03:36:50
Arthur Martins;Volkswagen;Polo;Dinheiro;Centro;2024-11-16 06:50:24;2024-11-16 16:50:24
Claudio Garcia;Hyundai;HB20;Dinheiro;Catete;2024-02-03 22:48:44;2024-02-04 07:48:44
Isabela Ribeiro;Toyota;Corolla;Cartão;Campo Grande;2023-08-18 22:30:59;2023-08-19 19:30:59
Isabela Batista;Hyundai;Creta;Cartão;Bangu;2024-12-01 02:42:40;2024-12-01 09:42:40
Andressa Martins;Toyota;Corolla;Cartão;Santa Cruz;2024-06-27 09:19:19;2024-06-27 12:19:19
Lorena Moura;Volkswagen;Gol;Dinheiro;Jardim Botânico;2023-02-01 05:35:50;2023-02-01 11:35:50
Isadora Neves;Chevrolet;Cruze;Cartão;Santa Teresa;2023-11-28 23:24:34;2023-11-29 00:24:34
Laura Almeida;Jeep;Renegade;Dinheiro;Santa Cruz;2024-04-29 22:08:42;2024-04-30 08:08:42
Gabriela Pereira;Chevrolet;Onix;Dinheiro;Leblon;2023-08-20 06:33:07;2023-08-20 14:33:07
Paulo Ferreira;Jeep;Renegade;Cartão;Campo Grande;2023-10-25 05:06:28;2023-10-25 16:06:28
Miguel Dias;Volkswagen;Gol;Dinheiro;Sulacap;2023-01-13 22:59:07;2023-01-14 09:59:07
Túlio Moraes;Nissan;Kicks;Cartão;Campo Grande;2024-04-05 11:42:55;2024-04-05 12:42:55
Daniela Batista;Hyundai;HB20;Dinheiro;Leblon;2023-02-28 09:31:22;2023-02-28 21:31:22
Sofia Garcia;Nissan;Kicks;App;Bangu;2023-08-14 21:09:46;2023-08-15 09:09:46
Sarah Gomes;Jeep;Renegade;App;Glória;2024-05-02 07:46:48;2024-05-02 22:46:48
Melissa Miranda;Toyota;Corolla;App;Jardim Botânico;2023-09-14 18:27:54;2023-09-15 03:27:54
Pietro Monteiro;Chevrolet;Onix;App;Sulacap;2023-12-07 23:07:12;2023-12-08 10:07:12
Túlio Martins;Renault;Sandero;Cartão;Centro;2024-09-17 02:44:50;2024-09-17 16:44:50
Fabrício Monteiro;Ford;Fiesta;Cartão;Lapa;2024-07-31 03:49:54;2024-07-31 12:49:54
Samuel Almeida;Volkswagen;Polo;Dinheiro;Taquara;2024-07-15 18:06:24;2024-07-15 21:06:24
Laura Carvalho;Nissan;Kicks;App;Centro;2023-07-06 16:15:26;2023-07-06 20:15:26
Gisele Rocha;Fiat;Argo;Cartão;Taquara;2024-08-28 19:55:00;2024-08-29 06:55:00
Emily Souza;Chevrolet;Cruze;Dinheiro;Catete;2023-02-21 15:09:28;2023-02-21 19:09:28
Sofia Santana;Fiat;Argo;App;Vila Isabel;2024-09-04 09:42:15;2024-09-04 14:42:15
Julio Neves;Fiat;Argo;Dinheiro;Centro;2023-11-30 17:23:11;2023-11-30 19:23:11
Ana Souza;Toyota;Yaris;Cartão;Méier;2024-05-13 05:20:09;2024-05-13 06:20:09
Antônio Pinto;Toyota;Corolla;Dinheiro;Barra da Tijuca;2023-08-06 00:53:42;2023-08-06 08:53:42
Francisco Pinto;Honda;Civic;Dinheiro;Jardim Botânico;2024-06-22 19:49:11;2024-06-22 22:49:11
Sofia Pereira;Chevrolet;Onix;Dinheiro;Glória;2024-12-30 08:56:04;2024-12-30 16:56:04
Evelyn Pinto;Fiat;Argo;Dinheiro;Méier;2023-02-04 22:21:34;2023-02-05 04:21:34
Giovana Monteiro;Honda;Civic;App;Santa Teresa;2024-08-04 06:22:32;2024-08-04 18:22:32
Roberto Moura;Toyota;Corolla;Cartão;Barra da Tijuca;2023-06-05 04:31:44;2023-06-05 12:31:44
Luísa Ribeiro;Volkswagen;Polo;Cartão;Taquara;2024-02-21 11:56:06;2024-02-21 19:56:06
Vitor Cardoso;Toyota;Corolla;Dinheiro;Madureira;2023-04-18 11:04:56;2023-04-18 22:04:56
Gabriel Gomes;Chevrolet;Onix;App;Madureira;2023-01-13 19:02:32;2023-01-13 23:02:32
Eliane Almeida;Hyundai;Creta;Cartão;Madureira;2023-12-26 14:19:41;2023-12-26 22:19:41
Beatriz Barros;Volkswagen;Gol;App;Vila Isabel;2024-07-18 02:38:57;2024-07-18 03:38:57
Barbara Silva;Nissan;March;Dinheiro;Copacabana;2023-05-11 12:50:07;2023-05-12 00:50:07
Rose Gonçalves;Hyundai;Creta;App;Sulacap;2024-03-02 23:44:50;2024-03-03 03:44:50
Bruno Moraes;Volkswagen;Polo;App;Centro;2023-07-29 14:23:21;2023-07-30 02:23:21
Flávia Carvalho;Ford;Ka;App;Copacabana;2023-06-28 00:55:32;2023-06-28 19:55:32
Márcia Ribeiro;Honda;Fit;App;Vila Isabel;2024-11-04 21:28:53;2024-11-05 07:28:53
Luciana Costa;Chevrolet;Onix;App;Botafogo;2024-09-07 16:11:51;2024-09-07 18:11:51
Francisco Ferraz;Hyundai;HB20;App;Catete;2023-10-23 04:04:29;2023-10-23 10:04:29
Renan Gomes;Volkswagen;Polo;Dinheiro;Sulacap;2024-08-08 05:42:59;2024-08-08 08:42:59
Emerson Fernandes;Fiat;Uno;Cartão;Recreio dos Bandeirantes;2023-04-22 17:38:35;2023-04-23 08:38:35
Ana Freitas;Jeep;Compass;App;Campo Grande;2023-11-10 17:03:22;2023-11-10 19:03:22
Julia Freitas;Volkswagen;Polo;Dinheiro;Ipanema;2024-09-10 20:40:58;2024-09-11 06:40:58
Henrique Borges;Ford;Ka;Dinheiro;Lapa;2023-07-16 14:48:08;2023-07-17 01:48:08
Larissa Souza;Hyundai;HB20;App;Méier;2024-07-19 16:48:23;2024-07-20 04:48:23
Nina Oliveira;Volkswagen;Polo;App;Campo Grande;2023-11-02 23:11:14;2023-11-03 01:11:14
Eduardo Freitas;Ford;Fiesta;App;Recreio dos Bandeirantes;2023-07-13 02:41:38;2023-07-14 02:41:38
Giulia Barros;Fiat;Argo;App;Vila Isabel;2023-11-22 07:20:07;2023-11-22 23:20:07
Stefany Reis;Fiat;Uno;Dinheiro;Centro;2023-01-24 20:06:59;2023-01-24 22:06:59
Bianca Miranda;Honda;Civic;Dinheiro;Bangu;2023-01-18 10:45:12;2023-01-18 17:45:12
Gabriela Moura;Toyota;Yaris;Dinheiro;Bangu;2023-07-08 23:50:48;2023-07-09 07:50:48
Elias Oliveira;Toyota;Yaris;Dinheiro;Recreio dos Bandeirantes;2023-04-27 17:54:16;2023-04-27 19:54:16
Diego Cardoso;Ford;Fiesta;Cartão;Vila Isabel;2023-12-25 07:51:14;2023-12-25 11:51:14
Natália Monteiro;Renault;Duster;App;Santa Cruz;2023-12-03 23:14:08;2023-12-04 10:14:08
Nadia Carvalho;Chevrolet;Cruze;Cartão;Vila Isabel;2023-06-22 03:16:43;2023-06-22 07:16:43
Francisco Gonçalves;Jeep;Compass;Cartão;Copacabana;2024-11-18 01:54:05;2024-11-18 06:54:05
Mirella Garcia;Jeep;Compass;Cartão;Laranjeiras;2023-02-24 09:52:39;2023-02-24 20:52:39
Daniela Rocha;Renault;Sandero;Dinheiro;Barra da Tijuca;2024-03-11 17:28:48;2024-03-11 23:28:48
Rebeca Rodrigues;Chevrolet;Cruze;Cartão;Centro;2024-05-22 00:38:57;2024-05-22 03:38:57
Rafael Fernandes;Honda;Civic;Dinheiro;Botafogo;2024-02-16 21:08:08;2024-02-17 05:08:08
Fernanda Moreira;Jeep;Compass;Cartão;Santa Cruz;2023-09-18 18:28:50;2023-09-19 06:28:50
Isadora Fernandes;Honda;Fit;Cartão;Santa Teresa;2024-07-07 14:37:52;2024-07-07 17:37:52
Manoel Vieira;Renault;Duster;App;Leblon;2023-08-07 15:46:41;2023-08-08 02:46:41
Marcelo Monteiro;Nissan;Kicks;App;Barra da Tijuca;2023-12-30 21:07:40;2023-12-31 09:07:40
Daniela Ribeiro;Honda;Fit;Cartão;Santa Cruz;2024-08-14 05:55:44;2024-08-14 06:55:44
Leonardo Araujo;Ford;Fiesta;Dinheiro;Campo Grande;2023-12-09 13:38:04;2023-12-10 04:38:04
Daniel Medeiros;Honda;Civic;App;Madureira;2024-11-16 14:21:43;2024-11-17 01:21:43
Bianca Nogueira;Ford;Ka;App;Tijuca;2024-04-06 21:27:44;2024-04-07 02:27:44
Luciana Moura;Volkswagen;Polo;App;Centro;2024-08-30 19:26:14;2024-08-30 21:26:14
Luís Moreira;Renault;Duster;Cartão;Centro;2023-03-16 05:25:32;2023-03-16 08:25:32
Rebeca Lima;Ford;Fiesta;Cartão;Lapa;2024-07-01 20:29:01;2024-07-01 23:29:01
Andressa Batista;Nissan;Kicks;Dinheiro;Leblon;2024-04-20 03:10:22;2024-04-20 08:10:22
Murilo Castro;Renault;Sandero;App;Botafogo;2023-06-14 13:27:57;2023-06-14 22:27:57
Nicole Fonseca;Hyundai;Creta;App;Barra da Tijuca;2024-06-05 14:11:15;2024-06-06 03:11:15
Giulia Duarte;Jeep;Renegade;Dinheiro;Gávea;2023-10-23 05:12:48;2023-10-24 05:12:48
Michelle Vieira;Chevrolet;Cruze;Dinheiro;Méier;2023-08-13 21:40:39;2023-08-14 10:40:39
Leandro Pereira;Renault;Sandero;Cartão;Barra da Tijuca;2023-09-02 23:36:26;2023-09-03 11:36:26
Julia Ferreira;Honda;Fit;Cartão;Madureira;2024-08-01 10:29:56;2024-08-01 21:29:56
Sarah Pereira;Jeep;Renegade;Cartão;Catete;2023-08-07 23:14:05;2023-08-08 11:14:05
Mauro Campos;Fiat;Uno;App;Laranjeiras;2024-12-18 13:09:46;2024-12-19 00:09:46
Luís Lopes;Jeep;Renegade;Cartão;Gávea;2024-06-15 11:36:56;2024-06-16 05:36:56
Lorena Nogueira;Jeep;Renegade;Cartão;Lapa;2023-05-29 00:49:50;2023-05-29 03:49:50
Renan Ribeiro;Honda;Fit;App;Recreio dos Bandeirantes;2023-07-20 13:05:29;2023-07-20 14:05:29
Eliane Santos;Fiat;Argo;Dinheiro;Campo Grande;2024-12-05 11:31:58;2024-12-05 13:31:58
Célia Moura;Chevrolet;Onix;Cartão;Madureira;2024-07-01 16:33:28;2024-07-01 19:33:28
Renata Barbosa;Ford;Ka;App;Lapa;2024-12-09 06:39:54;2024-12-09 09:39:54
Eliana Barros;Honda;Civic;Dinheiro;Centro;2023-06-16 00:20:53;2023-06-16 08:20:53
Julia Marques;Toyota;Corolla;Dinheiro;Tijuca;2023-10-16 02:39:41;2023-10-16 08:39:41
Leonardo Batista;Nissan;Kicks;Cartão;Glória;2024-03-18 03:18:08;2024-03-18 04:18:08
Fabiana Nogueira;Volkswagen;Polo;App;Tijuca;2024-10-12 07:32:56;2024-10-12 13:32:56
Cristiane Medeiros;Ford;Ka;Dinheiro;Santa Cruz;2023-10-09 02:50:09;2023-10-09 22:50:09
Renata Medeiros;Honda;Fit;Cartão;Jardim Botânico;2024-04-13 16:59:57;2024-04-14 05:59:57
Miguel Rocha;Nissan;Kicks;App;Botafogo;2023-03-22 00:18:47;2023-03-22 08:18:47
Alessandra Oliveira;Chevrolet;Cruze;Dinheiro;Taquara;2023-07-02 17:31:00;2023-07-02 19:31:00
Adriana Oliveira;Toyota;Yaris;App;Jardim Botânico;2024-08-27 11:53:25;2024-08-27 12:53:25
Luciana Melo;Hyundai;HB20;Dinheiro;Glória;2024-09-21 07:02:53;2024-09-21 13:02:53
Raquel Fonseca;Ford;Fiesta;Dinheiro;Méier;2024-04-29 10:13:58;2024-04-29 12:13:58
Barbara Gomes;Ford;Ka;App;Glória;2023-06-25 07:26:55;2023-06-25 18:26:55
Felipe Ferraz;Ford;Fiesta;Dinheiro;Tijuca;2023-09-19 11:25:36;2023-09-19 14:25:36
José Ferraz;Fiat;Uno;App;Laranjeiras;2024-12-20 17:46:12;2024-12-20 18:46:12
José Carvalho;Jeep;Renegade;Cartão;Laranjeiras;2024-05-13 12:03:42;2024-05-14 05:03:42
Gabriel Oliveira;Nissan;March;Dinheiro;Ipanema;2023-12-23 05:17:35;2023-12-24 04:17:35
Mário Fonseca;Renault;Sandero;Dinheiro;Catete;2024-08-29 20:31:49;2024-08-30 19:31:49
Isabela Marques;Volkswagen;Gol;Cartão;Copacabana;2023-10-27 07:19:39;2023-10-27 18:19:39
Estela Gonçalves;Honda;Fit;App;Campo Grande;2024-11-07 06:28:14;2024-11-07 07:28:14
Stefany Barbosa;Nissan;March;Dinheiro;Urca;2024-06-10 04:15:08;2024-06-11 01:15:08
Beatriz Moreira;Volkswagen;Polo;Cartão;Centro;2023-10-10 22:34:16;2023-10-11 14:34:16
Rafael Duarte;Ford;Ka;App;Méier;2023-09-23 03:44:08;2023-09-23 05:44:08
José Castro;Nissan;March;App;Lapa;2023-03-08 07:34:20;2023-03-08 19:34:20
Natália Teixeira;Honda;Fit;Cartão;Santa Teresa;2024-11-03 22:23:54;2024-11-04 05:23:54
Sophia Barros;Ford;Fiesta;Cartão;Botafogo;2024-08-04 09:37:02;2024-08-04 19:37:02
Mateus Cardoso;Nissan;March;Cartão;Tijuca;2024-11-27 09:31:29;2024-11-27 12:31:29
Juliana Miranda;Hyundai;Creta;App;Tijuca;2024-11-10 05:52:07;2024-11-10 06:52:07
Francisco Lima;Fiat;Uno;App;Glória;2024-08-02 02:36:10;2024-08-02 13:36:10
Karen Martins;Volkswagen;Polo;App;Laranjeiras;2023-02-19 09:23:49;2023-02-20 09:23:49
Rose Oliveira;Chevrolet;Cruze;Cartão;Taquara;2024-01-02 11:18:57;2024-01-02 20:18:57
Beatriz Moreira;Nissan;Kicks;Cartão;Centro;2023-05-27 19:40:16;2023-05-27 22:40:16
Luísa Santana;Volkswagen;Gol;Cartão;Botafogo;2023-12-06 04:01:10;2023-12-06 08:01:10
Ricardo Costa;Fiat;Argo;Dinheiro;Jardim Botânico;2023-05-08 09:01:56;2023-05-08 21:01:56
Emily Moraes;Volkswagen;Polo;App;Taquara;2024-03-15 08:23:40;2024-03-15 14:23:40
Rosana Duarte;Ford;Fiesta;Dinheiro;Urca;2024-03-06 20:52:32;2024-03-07 05:52:32
Rafaela Medeiros;Jeep;Compass;Cartão;Jardim Botânico;2024-12-23 19:15:36;2024-12-24 13:15:36
Manoel Mendes;Fiat;Argo;Dinheiro;Leblon;2023-01-25 05:06:37;2023-01-25 09:06:37
Amanda Freitas;Jeep;Compass;Dinheiro;Bangu;2024-12-19 17:40:24;2024-12-19 19:40:24
Fernanda Duarte;Toyota;Corolla;Cartão;Lapa;2024-06-24 01:01:47;2024-06-24 11:01:47
Lucas Santana;Nissan;Kicks;Cartão;Urca;2024-10-07 19:44:39;2024-10-07 21:44:39
Manoel Santos;Nissan;March;Cartão;Tijuca;2024-09-03 07:25:31;2024-09-03 09:25:31
Joaquim Lima;Volkswagen;Polo;Cartão;Campo Grande;2023-09-11 03:00:11;2023-09-11 04:00:11
Rosana Pereira;Jeep;Compass;Cartão;Leblon;2023-04-17 04:16:19;2023-04-18 01:16:19
Renata Souza;Toyota;Corolla;Cartão;Santa Cruz;2023-12-09 08:56:42;2023-12-09 17:56:42
Juliana Barbosa;Chevrolet;Cruze;Cartão;Jardim Botânico;2024-03-09 12:37:09;2024-03-09 15:37:09
Caio Pinto;Nissan;March;Cartão;Lapa;2024-10-07 11:39:04;2024-10-08 04:39:04
Diego Melo;Volkswagen;Gol;Cartão;Recreio dos Bandeirantes;2024-01-19 00:00:36;2024-01-19 10:00:36
Samuel Melo;Nissan;Kicks;Cartão;Sulacap;2023-04-05 03:02:51;2023-04-05 20:02:51
Michelle Garcia;Hyundai;HB20;Dinheiro;Vila Isabel;2024-03-13 05:21:38;2024-03-13 06:21:38
Rafael Barbosa;Honda;Fit;App;Jardim Botânico;2024-07-16 12:56:11;2024-07-17 11:56:11
Juliana Melo;Jeep;Compass;Cartão;Laranjeiras;2024-05-28 08:09:57;2024-05-28 21:09:57
Stefany Gomes;Chevrolet;Cruze;App;Campo Grande;2024-05-11 14:34:12;2024-05-11 22:34:12
Felipe Moraes;Renault;Sandero;Dinheiro;Sulacap;2024-10-22 13:14:23;2024-10-22 15:14:23
Rafaela Freitas;Chevrolet;Onix;Cartão;Centro;2023-03-10 08:02:46;2023-03-10 22:02:46
Emerson Neves;Volkswagen;Gol;Cartão;Tijuca;2023-08-12 09:37:19;2023-08-12 10:37:19
Renato Rocha;Honda;Civic;Dinheiro;Jardim Botânico;2024-04-30 04:01:50;2024-04-30 23:01:50
Samuel Moraes;Nissan;Kicks;Dinheiro;Tijuca;2024-04-20 13:21:57;2024-04-20 16:21:57
Leandro Barros;Ford;Ka;Cartão;Urca;2024-05-03 13:07:21;2024-05-03 21:07:21
Bruno Dias;Honda;Civic;Cartão;Glória;2023-10-21 09:51:09;2023-10-21 10:51:09
Fernanda Rocha;Fiat;Uno;App;Barra da Tijuca;2023-02-14 15:40:02;2023-02-15 01:40:02
Juliano Batista;Ford;Ka;Cartão;Recreio dos Bandeirantes;2023-01-24 13:49:02;2023-01-24 16:49:02
Rebeca Martins;Fiat;Argo;App;Taquara;2023-01-05 22:46:55;2023-01-06 00:46:55
Flávia Monteiro;Volkswagen;Gol;Dinheiro;Méier;2024-09-05 12:12:56;2024-09-05 14:12:56
Carolina Neves;Ford;Ka;Dinheiro;Urca;2024-12-23 21:57:25;2024-12-24 07:57:25
Beatriz Teixeira;Volkswagen;Gol;Cartão;Santa Teresa;2023-05-24 06:13:53;2023-05-24 08:13:53
Beatriz Gonçalves;Honda;Civic;App;Bangu;2024-05-31 04:26:32;2024-05-31 14:26:32
Márcia Ribeiro;Chevrolet;Cruze;Dinheiro;Copacabana;2024-06-03 06:03:23;2024-06-03 15:03:23
Evelyn Freitas;Toyota;Yaris;Cartão;Tijuca;2024-12-23 04:21:37;2024-12-23 09:21:37
Andressa Carvalho;Fiat;Uno;App;Lapa;2023-07-16 11:25:07;2023-07-16 21:25:07
Giovana Freitas;Chevrolet;Cruze;Dinheiro;Urca;2024-08-24 19:06:50;2024-08-24 22:06:50
Renato Rodrigues;Fiat;Uno;App;Leblon;2023-05-07 04:50:32;2023-05-07 05:50:32
Erick Duarte;Honda;Fit;Dinheiro;Bangu;2023-09-07 19:57:22;2023-09-07 20:57:22
Lucas Fernandes;Renault;Sandero;Dinheiro;Vila Isabel;2024-10-23 21:36:18;2024-10-24 09:36:18
Manoel Teixeira;Honda;Civic;Dinheiro;Taquara;2024-06-29 10:38:10;2024-06-29 21:38:10
Estela Moraes;Chevrolet;Onix;Cartão;Santa Cruz;2024-09-01 12:46:18;2024-09-01 23:46:18
Francisco Cardoso;Fiat;Uno;Cartão;Urca;2024-03-13 20:25:56;2024-03-13 22:25:56
Evelyn Mendes;Toyota;Corolla;Cartão;Jardim Botânico;2023-07-24 19:16:06;2023-07-24 21:16:06
Gabriel Lima;Nissan;March;Dinheiro;Leblon;2023-03-30 02:04:39;2023-03-31 01:04:39
Mateus Rodrigues;Jeep;Compass;Dinheiro;Barra da Tijuca;2024-08-15 04:34:03;2024-08-15 22:34:03
Nadia Reis;Jeep;Renegade;Cartão;Santa Cruz;2024-11-25 10:05:35;2024-11-25 22:05:35
Simone Miranda;Volkswagen;Polo;Cartão;Jardim Botânico;2024-07-20 08:00:04;2024-07-21 06:00:04
Tania Ferreira;Toyota;Yaris;Cartão;Santa Cruz;2023-11-23 15:39:13;2023-11-23 17:39:13
Emerson Duarte;Toyota;Corolla;App;Ipanema;2024-02-29 11:35:51;2024-02-29 13:35:51
Camila Barros;Fiat;Uno;Cartão;Sulacap;2024-09-03 03:44:52;2024-09-03 06:44:52
Pedro Rodrigues;Ford;Ka;Cartão;Santa Cruz;2024-07-08 12:29:02;2024-07-08 23:29:02
Fabiana Fonseca;Honda;Civic;Dinheiro;Leblon;2024-03-29 10:55:06;2024-03-29 22:55:06
Mariana Machado;Honda;Civic;Cartão;Lapa;2023-01-04 18:43:31;2023-01-05 04:43:31
Alberto Borges;Hyundai;Creta;Dinheiro;Madureira;2024-06-23 17:34:34;2024-06-23 19:34:34
Carolina Dias;Fiat;Argo;Dinheiro;Barra da Tijuca;2023-03-07 04:02:51;2023-03-07 15:02:51
Nadia Oliveira;Renault;Duster;Dinheiro;Copacabana;2023-12-20 23:22:15;2023-12-21 03:22:15
Paulo Carvalho;Ford;Fiesta;App;Catete;2024-07-29 12:02:50;2024-07-30 05:02:50
Diego Ferraz;Volkswagen;Gol;Cartão;Taquara;2024-09-26 11:49:20;2024-09-26 12:49:20
Daniela Pinto;Nissan;Kicks;Cartão;Lapa;2023-05-13 22:49:41;2023-05-14 04:49:41
Letícia Souza;Fiat;Argo;Cartão;Bangu;2024-11-24 19:18:04;2024-11-24 20:18:04
Diego Neves;Volkswagen;Polo;Dinheiro;Gávea;2024-03-29 07:44:21;2024-03-29 19:44:21
Rodrigo Fernandes;Hyundai;HB20;App;Jardim Botânico;2023-09-24 14:03:47;2023-09-25 00:03:47
Julio Dias;Volkswagen;Gol;Cartão;Leblon;2023-07-21 05:55:05;2023-07-21 15:55:05
Lucas Alves;Nissan;March;Cartão;Laranjeiras;2023-04-25 01:47:47;2023-04-26 00:47:47
Luís Silva;Toyota;Yaris;Cartão;Lapa;2024-11-30 08:31:51;2024-11-30 14:31:51
Juliana Gomes;Hyundai;HB20;Dinheiro;Leblon;2024-04-21 17:03:24;2024-04-22 04:03:24
Márcia Moreira;Hyundai;Creta;Dinheiro;Laranjeiras;2023-12-15 12:21:07;2023-12-15 13:21:07
Raquel Oliveira;Fiat;Argo;Dinheiro;Catete;2024-01-05 19:45:13;2024-01-05 22:45:13
Nicolas Santana;Fiat;Uno;Dinheiro;Leblon;2024-09-30 16:13:41;2024-09-30 20:13:41
Melissa Ferreira;Nissan;March;App;Leblon;2024-10-30 15:17:54;2024-10-31 00:17:54
Luciana Campos;Volkswagen;Gol;Cartão;Madureira;2023-02-18 10:58:32;2023-02-18 13:58:32
Lucas Lima;Chevrolet;Onix;App;Ipanema;2024-08-15 12:48:53;2024-08-16 00:48:53
Julia Costa;Ford;Ka;Cartão;Santa Cruz;2023-01-17 19:12:40;2023-01-17 22:12:40
Bruno Barbosa;Fiat;Argo;App;Madureira;2024-02-13 05:53:35;2024-02-13 06:53:35
Leonardo Monteiro;Jeep;Renegade;App;Barra da Tijuca;2024-10-11 03:15:37;2024-10-11 14:15:37
Marcelo Souza;Volkswagen;Gol;Dinheiro;Sulacap;2024-12-05 17:55:45;2024-12-05 20:55:45
Raquel Rocha;Toyota;Yaris;Cartão;Santa Cruz;2024-10-25 15:26:51;2024-10-25 16:26:51
Vitor Duarte;Nissan;March;App;Ipanema;2023-01-31 21:48:01;2023-01-31 22:48:01
Cristiane Garcia;Renault;Duster;App;Jardim Botânico;2023-01-05 08:23:15;2023-01-05 19:23:15
Mateus Freitas;Volkswagen;Gol;Cartão;Santa Teresa;2024-06-22 11:04:03;2024-06-22 21:04:03
Luís Carvalho;Fiat;Argo;Cartão;Copacabana;2023-11-30 13:13:05;2023-11-30 19:13:05
Sofia Lopes;Fiat;Argo;Cartão;Méier;2024-09-23 16:51:58;2024-09-23 22:51:58
Davi Rodrigues;Chevrolet;Onix;Dinheiro;Urca;2024-04-05 23:02:33;2024-04-06 00:02:33
Paulo Barbosa;Nissan;Kicks;Dinheiro;Laranjeiras;2024-03-15 22:50:23;2024-03-16 00:50:23
Túlio Souza;Honda;Civic;Cartão;Campo Grande;2023-02-25 01:12:47;2023-02-25 03:12:47
Mariana Moraes;Chevrolet;Onix;App;Laranjeiras;2024-12-15 18:42:05;2024-12-16 16:42:05
Lorena Cardoso;Renault;Sandero;App;Campo Grande;2023-06-10 18:28:23;2023-06-11 06:28:23
Mário Santos;Hyundai;Creta;Cartão;Madureira;2023-09-06 06:42:23;2023-09-06 17:42:23
Marcela Medeiros;Ford;Ka;Dinheiro;Jardim Botânico;2023-11-20 09:09:00;2023-11-20 21:09:00
Clarice Campos;Hyundai;Creta;App;Recreio dos Bandeirantes;2024-10-15 06:47:41;2024-10-15 11:47:41
Simone Borges;Chevrolet;Onix;App;Taquara;2023-11-23 09:33:45;2023-11-23 13:33:45
João Rocha;Hyundai;Creta;App;Taquara;2023-09-05 14:25:28;2023-09-05 15:25:28
Flávia Araujo;Ford;Fiesta;App;Laranjeiras;2024-10-10 16:34:19;2024-10-11 02:34:19
Mirella Fernandes;Renault;Sandero;Cartão;Ipanema;2024-12-09 05:40:32;2024-12-09 10:40:32
Gisele Ribeiro;Honda;Civic;App;Glória;2024-08-03 02:58:44;2024-08-03 19:58:44
Enzo Moura;Fiat;Argo;Dinheiro;Sulacap;2024-02-15 02:49:55;2024-02-15 04:49:55
